id,Player,PTS,PPG
2546,Zydrunas Ilgauskas,10976.0,12.83913076489251
2743,Mike Miller,10973.0,13.130179216180137
1410,Mike Gminski,10953.0,13.629420499538456
1932,Dan Majerle,10925.0,10.88601815229949
1934,Vernon Maxwell,10912.0,13.349937062509804
584,Don Nelson*,10898.0,10.892949001777176
1683,Alvin Robertson,10882.0,13.890139700404186
3730,Bingo Smith,10882.0,12.516011161004275
1956,John Starks,10829.0,13.67413081303324
1383,Cliff Robinson,10823.0,17.60202165810193
2058,Elden Campbell,10805.0,12.140196647475934
2120,Kenny Anderson,10789.0,14.231077148685968
4399,Mo Williams,10759.0,13.785017011560287
2339,Donyell Marshall,10716.0,12.244747643023308
2466,Derek Fisher,10713.0,8.60160829938885
2271,Anfernee Hardaway,10684.0,16.010987973023546
783,Wes Unseld*,10624.0,10.646639434719308
3303,Kevin Love,10593.0,18.615522160065538
660,Jerry Sloan*,10571.0,14.788254846256207
1177,Billy Knight,10561.0,17.04649273092372
1987,Sean Elliott,10544.0,13.89955594115776
1069,Brian Winters,10537.0,15.895240945351292
2237,Clarence Weatherspoon,10483.0,11.840415090957729
887,Austin Carr,10473.0,16.175186552735344
1268,Cedric Maxwell,10465.0,13.5914433552461
1274,Robert Reid,10448.0,11.827341150384022
2668,Steve Francis,10446.0,18.25308305909736
3301,Brook Lopez,10444.0,18.556990962610744
1555,Fat Lever,10433.0,14.105518861944889
2866,Nene Hilario,10418.0,11.930874929669967
485,Guy Rodgers*,10415.0,12.23310075074719
1777,Brad Daugherty,10389.0,18.79525095490776
472,Wayne Embry*,10380.0,13.175232036795048
236,Larry Foust,10321.0,13.779877139653419
3398,DeMarcus Cousins,10308.0,21.542006254401816
850,Sam Lacey,10303.0,10.588811964246341
2950,Kyle Korver,10295.0,10.632880730308589
1860,Derrick McKey,10266.0,12.270417560152408
553,Ray Scott,10184.0,14.686121023741581
572,Leroy Ellis,10176.0,9.937590475849444
3166,Kyle Lowry,10162.0,14.501159767348136
1285,Ray Williams,10158.0,16.840827100769655
3059,Raymond Felton,10146.0,12.26840988386014
1665,Vern Fleming,10125.0,11.629112683980269
3411,Blake Griffin,10117.0,21.464488050486334
382,Gene Shue,10068.0,16.188150946275947
3265,Thaddeus Young,10065.0,13.603248467019196
130,Vern Mikkelsen*,10063.0,14.771409200150398
3212,Mike Conley,10050.0,14.210528761918084
919,Charlie Scott,10037.0,17.77646086897406
4391,Lou Williams,10025.0,14.098860610067357
264,Neil Johnston*,10023.0,22.31692886789335
2126,Terrell Brandon,9994.0,14.055551256640534
1949,Rony Seikaly,9991.0,14.894373847409634
1182,John Lucas,9951.0,12.147741907911067
608,Gus Johnson*,9944.0,18.213236089597867
2840,Gerald Wallace,9933.0,14.039319102981974
889,Phil Chenier,9931.0,19.311790604059567
1055,Phil Smith,9924.0,15.2806289404127
2592,Ricky Davis,9912.0,16.489861758934918
547,Tom Meschery,9904.0,12.761315971150218
2200,Tom Gugliotta,9895.0,14.30036554119147
509,P.J. Brown,9870.0,9.213058558547521
3068,Danny Granger,9855.0,18.600195759584672
2287,Toni Kukoc,9810.0,11.402016397347445
1716,Tyrone Corbin,9766.0,10.012244371946462
861,Geoff Petrie,9732.0,21.67916628975188
1898,Rex Chapman,9731.0,15.293911256270388
2618,Brad Miller,9724.0,11.706061561403338
1140,Johnny Davis,9710.0,13.541617806544657
3013,Jameer Nelson,9693.0,12.090697337699993
2012,Anthony Mason,9656.0,11.138806802659074
2997,Devin Harris,9574.0,11.477414507171032
1507,Jeff Green,9528.0,13.902815339808722
1931,Grant Long,9518.0,10.137610916948159
2304,Rodney Rogers,9468.0,11.361621906242066
2572,Tim Thomas,9454.0,12.207722973929421
2818,Andrei Kirilenko,9431.0,12.45281862323876
3448,John Wall,9419.0,18.72430188106617
789,Lucius Allen,9407.0,13.807399811850088
2301,Isaiah Rider,9405.0,16.644994475746994
1873,Kenny Smith,9397.0,13.480155817248013
1628,Doc Rivers,9377.0,11.446379619474003
1637,Sedale Threatt,9327.0,10.69478828919283
2736,Kenyon Martin,9325.0,13.2731672647377
2187,Doug Christie,9301.0,12.523031745382044
794,Fred Carter,9271.0,15.917480825238025
2456,Marcus Camby,9262.0,10.399592779166463
2877,Yao Ming*,9247.0,19.744457467314152
3229,Al Horford,9240.0,14.125726157328417
1708,Benoit Benjamin,9223.0,12.26486589684103
703,Bill Bradley*,9217.0,12.586403393087785
3920,Wally Szczerbiak,9195.0,14.99989482265164
1659,Antoine Carr,9176.0,9.83636203023873
657,Jon McGlocklin,9169.0,12.456374720839062
3312,Derrick Rose,9155.0,19.505393639584813
2975,Trevor Ariza,9147.0,11.029513207567433
4423,Corliss Williamson,9147.0,11.99094384732719
14,Carl Braun,9144.0,14.139864883746926
2924,Boris Diaw,9139.0,8.624359697392242
4394,Marvin Williams,9122.0,10.634762155735919
564,Zelmo Beaty*,9107.0,15.845699042703398
1103,George McGinnis,9090.0,17.23506397685123
631,Walt Hazzard,9087.0,15.100174583572239
352,George Yardley*,9063.0,19.123884532603793
2255,Antonio Davis,9041.0,10.255425334195019
2908,Leandro Barbosa,9035.0,11.929246368696358
1620,Rodney McCray,9014.0,11.543838465751012
569,Terry Dischinger,9012.0,14.884606298792256
2792,Tyson Chandler,9002.0,8.774875590270943
2438,Kurt Thomas,8973.0,8.44036706234392
2140,Rick Fox,8966.0,9.84645777581643
1169,Bobby Jones,8911.0,11.437387782504064
1969,Dana Barros,8901.0,10.678303680138251
3077,Jarrett Jack,8883.0,11.30201207427782
3249,Luis Scola,8882.0,12.404455035724945
3569,Damian Lillard,8880.0,22.5470243902439
1253,Rickey Green,8870.0,10.499016831477864
1333,Terry Tyler,8868.0,10.069754199675188
3518,Klay Thompson,8854.0,18.9319772688167
1921,Avery Johnson,8817.0,10.284283246266181
1512,Danny Schayes,8780.0,9.260385334412227
1670,Jay Humphries,8772.0,11.60648320257444
525,Tom Sanders*,8766.0,10.242241715089948
717,Clem Haskins,8743.0,14.504665313887541
855,Jim McMillian,8736.0,14.158520292561969
1521,Jay Vincent,8729.0,15.976429441118578
1867,Ken Norman,8717.0,13.98936812455346
2136,Dale Davis,8706.0,8.654913557229417
2060,Cedric Ceballos,8693.0,17.79763147572403
2861,Drew Gooden,8653.0,11.70610214429376
2018,Sam Mitchell,8636.0,9.643026928178443
3279,Goran Dragic,8631.0,15.051738071069362
358,Larry Costello,8622.0,12.975563582109944
976,Mike Bantom,8568.0,13.014031449989231
2880,Mehmet Okur,8561.0,13.740490636700816
3,Mahmoud Abdul-Rauf,8553.0,15.777781632012667
206,Jim Barnett,8536.0,12.438733877000807
1176,Larry Kenon,8535.0,17.673227801005577
2379,Brent Barry,8488.0,10.016961729576712
556,Adrian Smith,8482.0,12.614726971330724
129,George Mikan*,8458.0,20.845254629629633
3978,Isaiah Thomas,8437.0,18.699899676063684
1356,Dave Greenwood,8428.0,10.539801224640184
1983,Sherman Douglas,8425.0,11.49758988107604
57,Harry Gallatin*,8409.0,13.597376829519687
2781,Shane Battier,8408.0,8.55988906622175
4420,Walt Williams,8385.0,11.892430331665329
379,Frank Ramsey*,8378.0,13.525547722572693
806,Steve Mix,8355.0,11.455287676821001
2890,John Salmons,8292.0,10.957730549047284
2348,Lamond Murray,8286.0,12.859863902774999
4380,Jason Williams,8266.0,10.94094084117284
1869,Olden Polynice,8265.0,8.628466313849042
2577,Wesley Matthews,8257.0,14.01051795893401
1323,Micheal Ray,8253.0,14.341709185495752
801,Connie Hawkins*,8233.0,15.95157220779611
3478,Kyrie Irving,8232.0,21.392455128585762
3183,J.J. Redick,8214.0,12.507515348244665
2948,Chris Kaman,8208.0,11.511074892607228
1404,James Donaldson,8203.0,9.445342542768689
2351,Wesley Person,8192.0,12.229388839951515
3254,Rodney Stuckey,8185.0,12.758775956548611
667,Jim Washington,8168.0,11.036418984412835
3284,Eric Gordon,8151.0,16.558576944586495
1191,Mark Olberding,8145.0,9.44639799447816
4188,Kemba Walker,8137.0,18.143769297159476
612,Eddie Miles,8120.0,15.143668605134769
1405,Larry Drew,8110.0,12.06902890901262
1055,Larry Drew,46.0,12.06902890901262
1954,Charles Smith,8107.0,15.345338428193783
1954,Charles Smith,8107.0,7.35
3734,Charles Smith,729.0,15.345338428193783
3734,Charles Smith,729.0,7.35
3733,Charles Smith,186.0,15.345338428193783
3733,Charles Smith,186.0,7.35
2104,Dennis Scott,8094.0,13.29337329064414
3410,Paul George,8090.0,17.639922777011932
1781,Kevin Duckworth,8085.0,13.301496457746598
3414,Gordon Hayward,8077.0,15.496667542068716
1763,Spud Webb,8072.0,10.555237423406215
1202,Lonnie Shelton,8049.0,12.255459260723706
2758,Quentin Richardson,8032.0,11.122679442144044
3203,Arron Afflalo,8019.0,12.448553472720908
2224,Anthony Peeler,8017.0,9.74722806879673
1657,Tony Campbell,7994.0,13.902095661557395
2122,Stacey Augmon,7990.0,9.935222755279273
1578,Terry Teagle,7982.0,12.55179618243434
2277,Lindsey Hunter,7956.0,9.92274184207062
2328,Brian Grant,7933.0,10.586662333127675
1858,Reggie Lewis,7902.0,19.1441937764666
3134,Andrea Bargnani,7873.0,15.142082648534261
1243,Brad Davis,7866.0,8.882238144066063
2820,Troy Murphy,7860.0,12.383888269576863
