,id,Player,PER,TS%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,FG%,3P%,2P%,eFG%,FT%,PPG,APG,RPG,SPG,BPG,HOF,MVP_Counts,Champions_Winners,season,Last_Season,Total_PTS
50,696,Cazzie Russell,16.025,0.51075,3.6750000000000003,0.9750000000000001,4.625,0.10725000000000001,0.42500000000000004,-2.575,-2.15,0.47250000000000003,0.0,0.47250000000000003,0.47250000000000003,0.86975,16.115660019775873,2.319021918259723,3.309554218852999,0.774633322346737,0.09580586684245222,0.0,0,1,12,1977.0,12377.0
51,698,Dick Snyder,14.399999999999999,0.5247499999999999,3.9000000000000004,1.6,5.5,0.11324999999999999,0.6250000000000001,-0.825,-0.2,0.4855,0.0,0.4855,0.4855,0.847,13.535514172709295,2.910514172709295,2.817320369149637,0.831493078444298,0.41100856954515486,0.0,0,1,13,1977.0,11755.0
52,703,Bill Bradley*,10.475,0.48024999999999995,1.075,1.5,2.575,0.050249999999999996,-1.8499999999999999,-0.65,-2.525,0.446,0.0,0.446,0.446,0.85875,10.683765488703441,2.750111168455346,2.6633882532382853,0.6628266509379622,0.20571521060950265,1.0,0,2,10,1977.0,9217.0
53,708,Jim Davis,14.5,0.515,1.1,1.3,2.3,0.104,-1.0,1.2,0.3,0.454,0.0,0.454,0.454,0.726,4.063291139240507,1.139240506329114,3.607594936708861,0.6329113924050633,0.45569620253164556,0.0,0,0,8,1975.0,3997.0
54,712,Jim Fox,14.933333333333332,0.5343333333333334,2.6666666666666665,1.8333333333333333,4.533333333333333,0.12233333333333334,-0.5333333333333333,0.033333333333333326,-0.5,0.4696666666666667,0.0,0.4696666666666667,0.4696666666666667,0.8193333333333334,8.96020464668352,1.8090213073311663,6.778105212471409,0.5465462862645961,0.2826700373179246,0.0,0,0,10,1977.0,6945.0
55,713,Walt Frazier*,18.080000000000002,0.527,4.82,3.0200000000000005,7.840000000000001,0.13840000000000002,3.0800000000000005,0.86,4.000000000000001,0.48,0.0,0.48,0.48,0.8219999999999998,18.936194012429645,5.66284928278592,5.478900370413725,1.8983307264441494,0.17857051315688563,1.0,0,2,13,1978.0,15581.0
56,717,Clem Haskins,16.0,0.51,2.7,0.7,3.4,0.09,1.1,-1.7,-0.6,0.46,0.0,0.46,0.46,0.8420000000000001,11.098765432098766,3.197530864197531,2.740740740740741,1.0,0.19753086419753085,0.0,0,0,9,1974.0,8743.0
57,719,Phil Jackson*,12.12,0.5178,1.1400000000000001,2.0,3.1399999999999997,0.08879999999999999,-1.42,0.76,-0.6399999999999999,0.46499999999999997,0.0,0.46499999999999997,0.46499999999999997,0.7617999999999999,7.522088766451378,1.4498670207572864,4.767836606453967,0.6597081179193731,0.47125676228284963,1.0,0,1,12,1979.0,5428.0
58,730,Earl Monroe*,16.61666666666667,0.5261666666666666,3.983333333333333,1.4166666666666667,5.45,0.11433333333333333,1.4833333333333334,-1.6333333333333335,-0.18333333333333335,0.48100000000000004,0.0,0.48100000000000004,0.48100000000000004,0.8243333333333333,17.607298148426597,3.766806174008918,2.8637872009783116,1.065950309852749,0.2945224148088397,1.0,0,1,13,1979.0,17454.0
59,733,Pat Riley*,12.350000000000001,0.459,0.0,0.6,0.55,0.021,-2.05,-3.0,-5.1,0.4245,0.0,0.4245,0.4245,0.753,10.26086956521739,2.3429951690821254,1.8128019323671496,0.7663043478260869,0.06431159420289854,1.0,0,1,9,1975.0,3906.0
61,738,Jimmy Walker,13.633333333333333,0.5266666666666667,4.2,1.1666666666666665,5.366666666666667,0.09133333333333334,-0.13333333333333333,-1.5333333333333332,-1.6666666666666667,0.4753333333333334,0.0,0.4753333333333334,0.4753333333333334,0.8473333333333333,17.402439539996617,3.136471898077682,2.726943457917583,1.1220545126557304,0.15909154969276734,0.0,0,0,9,1976.0,11655.0
64,745,Zaid Abdul-Aziz,16.5,0.5085,2.5999999999999996,2.5,5.1,0.125,-0.9,0.95,0.04999999999999999,0.44800000000000006,0.0,0.44800000000000006,0.44800000000000006,0.7935,10.313145082765335,1.6967867575462514,9.595618305744889,0.7909444985394353,1.227458617332035,0.0,0,0,10,1975.0,4557.0
65,746,Jarron Collins,11.200000000000001,0.5566666666666668,2.6333333333333333,1.1666666666666667,3.8000000000000003,0.11166666666666668,-0.6666666666666666,-0.36666666666666664,-1.0333333333333334,0.4733333333333334,0.0,0.47433333333333333,0.4733333333333334,0.725,5.877451089828024,1.0023456045959562,4.114998623296795,0.39698985704611583,0.2927600294688902,0.0,0,0,10,2006.0,2095.0
66,747,Jason Collins,7.95,0.47033333333333327,0.3499999999999999,2.8333333333333335,3.1833333333333336,0.07783333333333332,-3.633333333333333,2.3,-1.3666666666666665,0.40533333333333327,0.1805,0.4086666666666667,0.4071666666666666,0.6393333333333333,4.706515518330855,1.1601626800863891,4.741234553714992,0.6418719955202741,0.6329047477619466,0.0,0,0,13,2007.0,2621.0
67,750,Tom Boerwinkle,17.0,0.5246666666666667,1.866666666666667,2.2333333333333334,4.133333333333333,0.13399999999999998,1.6333333333333335,2.4,4.000000000000001,0.49266666666666664,0.0,0.49266666666666664,0.49266666666666664,0.6583333333333333,5.55072786200835,3.1764007910349377,6.41919358382773,0.39311415073610195,0.4989700065919578,0.0,0,0,10,1977.0,4596.0
68,752,Don Chaney,11.425,0.46625,1.2000000000000002,2.475,3.5999999999999996,0.08,-1.4,1.35,-0.07499999999999996,0.43,0.0,0.43,0.43,0.8089999999999999,7.978616843860745,2.3341179672480488,3.8555416579806825,1.3371459013735438,0.5367370810460241,0.0,0,2,11,1979.0,6216.0
69,754,Fred Foster,11.5,0.446,0.0,0.4,0.4,0.017,-1.8,-3.1,-4.9,0.417,0.0,0.417,0.417,0.711,6.890410958904109,1.4109589041095891,1.5068493150684932,0.3013698630136986,0.0273972602739726,0.0,0,0,8,1975.0,4093.0
70,761,Elvin Hayes*,17.279999999999998,0.5025999999999999,2.880000000000001,5.119999999999999,7.9799999999999995,0.1196,-0.37,1.32,0.9199999999999999,0.4628,0.18275,0.46349999999999997,0.4631,0.6752999999999999,19.91756436314363,1.8056462661848844,11.674013098464316,1.042767238783499,2.144415085817525,1.0,0,1,16,1983.0,27313.0
72,768,Stu Lantz,12.4,0.5,1.3,0.3,1.7,0.056,-1.1,-1.4,-2.4,0.424,0.0,0.424,0.424,0.8240000000000001,9.339285714285714,2.8214285714285716,3.0357142857142856,0.7857142857142857,0.17857142857142858,0.0,0,0,8,1975.0,6782.0
73,770,Otto Moore,12.433333333333332,0.4676666666666667,0.09999999999999999,2.9,3.0666666666666664,0.07466666666666667,-2.9333333333333336,2.866666666666667,-0.03333333333333335,0.43133333333333335,0.0,0.43133333333333335,0.43133333333333335,0.6626666666666667,7.292078189300412,2.3170781893004118,8.613991769547324,0.7470164609053498,1.3661522633744856,0.0,0,0,9,1977.0,5616.0
74,778,Mike Riordan,12.266666666666666,0.49099999999999994,2.1666666666666665,2.766666666666667,4.933333333333333,0.09333333333333332,-1.0666666666666667,0.10000000000000003,-0.9666666666666667,0.468,0.0,0.468,0.468,0.7866666666666667,13.225366392033058,2.499679166345833,3.642210586655031,0.9748466415133082,0.14019575130686243,0.0,0,1,9,1976.0,6334.0
76,783,Wes Unseld*,14.525,0.53825,3.2125000000000004,4.199999999999999,7.412499999999999,0.137,0.4125,3.7625,4.1875,0.516,0.5,0.516125,0.5165,0.626625,8.593622849787755,3.98022896702733,11.837933078042814,1.059799853342077,0.6100952962771163,1.0,1,1,13,1981.0,10624.0
77,786,Ron Williams,13.1,0.525,1.4,1.2,2.6,0.111,-1.2,-1.6,-2.8,0.489,0.0,0.489,0.489,0.882,6.253521126760563,2.1549295774647885,0.971830985915493,0.6901408450704225,0.028169014084507043,0.0,0,0,8,1974.0,4797.0
78,788,Kareem Abdul-Jabbar*,23.237499999999997,0.5930624999999999,7.5,4.3812500000000005,11.86875,0.20218750000000005,3.5187500000000007,1.8249999999999997,5.33125,0.559,0.0333,0.5595,0.559,0.7380625000000002,22.893856010711616,3.4700211418461104,10.009479028086028,0.942382850525467,2.572517040842729,1.0,6,6,20,1989.0,38387.0
79,789,Lucius Allen,16.119999999999997,0.5016,2.4799999999999995,1.9600000000000002,4.46,0.092,1.28,-0.62,0.7,0.4582,0.0,0.4582,0.4582,0.7797999999999999,15.680653703022125,5.091174760911603,3.4920290236079707,1.6210536539483908,0.335187911503701,0.0,0,1,10,1978.0,9407.0
80,793,Butch Beard,14.819999999999999,0.5524,2.96,1.6,4.58,0.11500000000000002,1.2200000000000002,0.36,1.6199999999999999,0.5044000000000001,0.0,0.5044000000000001,0.5044000000000001,0.764,9.216814860553669,3.447280171716726,3.7796105499933845,1.2835003454917007,0.09149472941384025,0.0,0,1,9,1978.0,5622.0
81,794,Fred Carter,15.366666666666667,0.464,1.3999999999999997,2.033333333333333,3.4333333333333336,0.05433333333333334,0.7000000000000001,-1.3333333333333333,-0.6333333333333333,0.43133333333333335,0.0,0.43133333333333335,0.43133333333333335,0.7163333333333334,20.715107385839094,4.859902969659067,4.2727787118031015,1.394794906990029,0.2377162133259694,0.0,0,0,8,1976.0,9271.0
82,795,Bob Dandridge,17.17142857142857,0.5247142857142857,4.185714285714286,2.514285714285714,6.714285714285714,0.12357142857142858,1.8000000000000003,0.08571428571428572,1.857142857142857,0.48085714285714287,0.182,0.48142857142857143,0.48114285714285715,0.8057142857142858,19.74037756444836,3.568669221998995,6.343960380527937,1.2667769436294283,0.6022069473391102,0.0,0,2,13,1980.0,15530.0
83,798,Herm Gilliam,14.625,0.47050000000000003,1.225,1.525,2.7750000000000004,0.0795,-0.275,-0.44999999999999996,-0.725,0.44025000000000003,0.0,0.44025000000000003,0.44025000000000003,0.7915,10.980983671843887,3.294491736360016,3.233750248904819,1.351742333731581,0.18253434886499403,0.0,0,1,8,1977.0,6252.0
86,806,Steve Mix,16.9,0.5667777777777778,3.511111111111111,2.4555555555555553,5.988888888888889,0.15733333333333338,1.1888888888888889,0.5222222222222223,1.7222222222222223,0.5065555555555555,0.21666666666666667,0.5073333333333334,0.5071111111111111,0.8060000000000002,11.455287676821001,1.902121293753594,5.824516409107746,1.2768028066949948,0.26366799657754453,0.0,0,0,13,1982.0,8355.0
88,816,Neal Walk,16.8,0.48250000000000004,2.0,1.9,3.9,0.0875,0.75,-0.04999999999999999,0.7,0.44600000000000006,0.0,0.44600000000000006,0.44600000000000006,0.7945,12.097560975609756,2.74390243902439,7.475609756097561,0.6036585365853658,0.4817073170731707,0.0,0,0,8,1976.0,7157.0
91,822,Tiny Archibald*,15.940000000000001,0.5382,3.62,1.49,5.12,0.10469999999999999,1.46,-2.16,-0.7300000000000001,0.46230000000000004,0.20539999999999997,0.4667,0.4643,0.7837000000000001,15.891592556098592,6.818715164012791,2.111169667694292,1.1519354456960502,0.13428831871349495,1.0,0,1,13,1984.0,16481.0
92,824,Dennis Awtrey,10.1,0.49025,0.775,1.725,2.525,0.059,-2.35,0.95,-1.4,0.4475,0.0,0.4475,0.4475,0.6799999999999999,6.013754353947443,2.714875953188961,5.304416204822709,0.3923758616339917,0.4176602924062274,0.0,0,1,12,1978.0,3516.0
95,830,Dave Cowens*,16.6,0.49862499999999993,3.0374999999999996,4.1625000000000005,7.1875,0.13524999999999998,0.5999999999999999,2.3,2.9125,0.4605,0.0415,0.4615000000000001,0.4605,0.8052500000000001,16.53687619978061,3.924248753697283,12.361808112230907,1.1111083340678929,0.8994007034632033,1.0,1,2,11,1983.0,13516.0
96,839,Spencer Haywood*,16.366666666666664,0.5188888888888888,2.355555555555555,2.0888888888888886,4.4444444444444455,0.10388888888888886,-0.24444444444444446,-0.7555555555555555,-1.0,0.4715555555555555,0.125,0.4719999999999999,0.47166666666666657,0.7912222222222223,17.866646587823805,1.7431974326559125,8.373198837938796,0.6192472632879208,1.1215357708576674,1.0,0,1,12,1982.0,14592.0
97,840,Gar Heard,13.066666666666668,0.45011111111111113,-0.13333333333333336,2.8666666666666667,2.744444444444445,0.07733333333333332,-2.6111111111111116,2.466666666666667,-0.14444444444444443,0.41477777777777775,0.0,0.4157777777777778,0.41477777777777775,0.6717777777777777,9.131095371126621,1.8488904277744278,8.242047971370367,1.333879350778127,1.3058879794677138,0.0,0,0,11,1981.0,6828.0
98,847,John Johnson,13.6625,0.495125,1.3249999999999997,1.8375,3.1750000000000003,0.069625,-0.43749999999999994,-0.19999999999999996,-0.6375,0.45375000000000004,0.0,0.45375000000000004,0.45375000000000004,0.7735000000000001,11.98818943928405,3.547888891274587,5.037461108266634,0.7768473299152013,0.36612182317508435,0.0,0,1,12,1981.0,11200.0
99,850,Sam Lacey,14.38888888888889,0.4861111111111111,1.0222222222222224,4.122222222222222,5.111111111111111,0.09088888888888888,-0.9888888888888887,3.7666666666666666,2.8,0.44299999999999995,0.1406666666666667,0.44399999999999995,0.4435555555555555,0.7545555555555555,9.833041501459395,4.45492038774602,9.440706946184745,1.3616888897491048,1.558592235129918,0.0,0,0,13,1983.0,10303.0
100,851,Bob Lanier*,21.56,0.5771999999999999,5.510000000000001,3.2299999999999995,8.75,0.1849,3.2600000000000002,1.4599999999999997,4.720000000000001,0.5333,0.25,0.5342000000000001,0.5334,0.7697999999999999,20.425387122646775,3.315601880279787,9.70603589881668,1.0813083118985105,1.5811992362191651,1.0,0,0,14,1984.0,19248.0
101,852,Pete Maravich*,18.316666666666666,0.4968333333333333,2.8833333333333333,1.8166666666666664,4.666666666666667,0.08483333333333336,2.533333333333333,-1.6166666666666665,0.9166666666666666,0.43883333333333335,0.0,0.43883333333333335,0.43883333333333335,0.8323333333333333,25.973607667294512,5.628604483751388,4.375701647871993,1.4629856985730758,0.2664308794282438,1.0,0,0,10,1979.0,15948.0
102,855,Jim McMillian,13.6,0.5364,4.08,1.6800000000000002,5.76,0.1096,0.020000000000000018,0.06,0.09999999999999995,0.491,0.0,0.491,0.491,0.8385999999999999,13.43687320883989,2.602768317048607,5.413792573335144,1.150766651820783,0.20654025053467656,0.0,0,1,9,1978.0,8736.0
103,858,Calvin Murphy*,17.47,0.5338,5.380000000000001,0.8900000000000002,6.279999999999999,0.11649999999999998,2.61,-2.5200000000000005,0.09999999999999991,0.4835,0.156,0.4861,0.484,0.9074,18.343347543679833,4.386394028477229,1.8680724722719,1.5013226963550563,0.06595343116189821,1.0,0,0,13,1983.0,17949.0
104,860,Curtis Perry,14.7,0.5015,2.0,3.375,5.425,0.11474999999999999,-0.475,1.825,1.35,0.4630000000000001,0.0,0.4630000000000001,0.4630000000000001,0.7055000000000001,11.599976433777764,2.2431311165376955,9.797205516767084,1.2369435450161366,0.9377034343754496,0.0,0,0,8,1977.0,4578.0
106,873,Rudy Tomjanovich,16.628571428571426,0.5461428571428572,6.171428571428572,1.3142857142857145,7.500000000000001,0.12999999999999998,1.742857142857143,-1.3428571428571427,0.39999999999999997,0.5068571428571429,0.2565,0.5132857142857142,0.5104285714285713,0.7999999999999999,18.60274458144167,2.244127435378967,7.272735529137802,0.6803184457856432,0.31643630570743675,0.0,0,0,11,1981.0,13383.0
108,886,Fred Brown,17.88181818181818,0.5253636363636365,3.4545454545454546,2.118181818181818,5.572727272727274,0.1329090909090909,1.8181818181818186,-1.1636363636363636,0.6636363636363637,0.48427272727272724,0.366,0.4884545454545454,0.4903636363636364,0.8602727272727272,15.05675095027068,3.1140955972732205,2.6670100232483906,1.350365585582469,0.1961474895387645,0.0,0,1,13,1984.0,14018.0
109,887,Austin Carr,15.5,0.49714285714285705,2.8285714285714287,0.9571428571428571,3.8,0.0905714285714286,1.2857142857142858,-1.9857142857142855,-0.7000000000000001,0.4557142857142857,0.333,0.4558571428571429,0.4558571428571429,0.8069999999999998,14.83455028216933,2.7742393452033407,2.7278837349685197,0.8350961551890704,0.1165343582300609,0.0,0,0,10,1980.0,10473.0
110,889,Phil Chenier,17.075,0.497,3.7,4.0,7.700000000000001,0.12725,1.0,0.575,1.5999999999999999,0.45275,0.0,0.45275,0.45275,0.8282499999999999,20.971076620747674,3.3305617080288137,4.182701070858966,1.9596623770965875,0.6743314251537935,0.0,0,1,10,1977.0,9931.0
111,890,Jim Cleamons,12.428571428571429,0.5038571428571428,2.2285714285714286,1.5285714285714285,3.757142857142857,0.07885714285714286,-0.2285714285714286,0.05714285714285716,-0.15714285714285722,0.46414285714285713,0.174,0.467,0.46485714285714286,0.7615714285714287,9.328499757401358,4.428087522541085,3.4310720274958206,1.0081652325690176,0.23331731656290353,0.0,0,1,9,1980.0,5412.0
116,908,John Mengelt,14.75,0.5318333333333333,2.2666666666666666,1.0166666666666666,3.3166666666666664,0.104,0.06666666666666664,-2.0,-1.9166666666666667,0.4736666666666667,0.0,0.4736666666666667,0.4736666666666667,0.8068333333333332,10.039340421225157,2.2121502572998852,1.9580745333704925,0.7049420247503603,0.063970962742542,0.0,0,0,10,1979.0,6218.0
117,910,Charles Davis,13.1,0.489,-0.3,1.8,1.5,0.061,-2.3,-0.2,-2.5,0.47,0.2,0.475,0.472,0.629,7.5675675675675675,0.9864864864864865,2.8783783783783785,0.43243243243243246,0.2972972972972973,0.0,0,0,8,1983.0,2214.0
121,918,Curtis Rowe,12.040000000000001,0.5128000000000001,2.66,1.9,4.54,0.08420000000000001,-1.48,-0.08000000000000002,-1.5399999999999998,0.4758,0.0,0.4758,0.4758,0.7178,11.178238683031683,1.615592702732616,6.763950832134306,0.4763266818899381,0.47566589676524906,0.0,0,0,8,1979.0,6873.0
122,919,Charlie Scott,13.362499999999999,0.48150000000000004,1.0125,1.5125000000000002,2.5500000000000003,0.055999999999999994,-0.1499999999999999,-0.9750000000000001,-1.125,0.441125,0.182,0.44162500000000005,0.441375,0.7576250000000001,16.838024650435326,4.623138430315482,3.5548611788783715,1.3383521692044975,0.30980636585554827,0.0,0,1,9,1980.0,10037.0
123,920,Elmore Smith,17.0,0.5145,2.15,4.4,6.525,0.12674999999999997,-1.7249999999999999,2.5250000000000004,0.8,0.49125,0.0,0.49125,0.49125,0.5924999999999999,12.866975950309284,1.4396511896511899,10.487554862554862,0.9072405739072406,3.248723082056415,0.0,0,0,8,1978.0,7541.0
124,921,Randy Smith,16.43,0.5177000000000002,3.7300000000000004,1.75,5.47,0.09559999999999999,1.6,-1.08,0.5199999999999999,0.4729,0.17149999999999999,0.4765,0.47380000000000005,0.8012999999999998,17.20711069418386,4.7709943714821765,3.4792870544090055,1.7257598499061917,0.06951219512195123,0.0,0,0,12,1983.0,16262.0
125,923,Larry Steele,13.299999999999997,0.5341666666666667,2.0500000000000003,2.0166666666666666,4.05,0.1025,-0.08333333333333333,0.5666666666666668,0.5,0.4851666666666666,0.0,0.4851666666666666,0.4851666666666666,0.8056666666666666,8.937540610786224,2.866351776878093,2.806705361456823,1.7629887872577932,0.20274362306526048,0.0,0,1,9,1979.0,5009.0
